country,iso3c,year,life_expectancy,gdp_per_capita_ppp,health_expenditure,access_clean_water,infant_mortality,region,income,life_expectancy_is_outlier,gdp_per_capita_ppp_is_outlier,health_expenditure_is_outlier,access_clean_water_is_outlier,infant_mortality_is_outlier,log_gdp_pc
Afghanistan,AFG,2010,60.702,1765.53802830615,46.42438889,48.8269685242371,76.9,South Asia,Low income,FALSE,FALSE,FALSE,TRUE,FALSE,7.476210754817094
Afghanistan,AFG,2020,61.454,2561.98176058622,80.0892334,76.72225540254,55.3,South Asia,Low income,FALSE,FALSE,FALSE,FALSE,FALSE,7.8485363632222125
Albania,ALB,2000,74.826,3976.92608302032,65.47674561,86.3970439494077,17.9,Europe & Central Asia,Upper middle income,FALSE,FALSE,FALSE,FALSE,FALSE,8.288264458919885
Albania,ALB,2010,78.414,9755.92875964596,253.98246765,91.3794796111017,9.7,Europe & Central Asia,Upper middle income,FALSE,FALSE,FALSE,FALSE,FALSE,9.185630457099839
Albania,ALB,2020,77.824,14512.0376833706,396.17477417,95.0680388145809,8.1,Europe & Central Asia,Upper middle income,FALSE,FALSE,FALSE,FALSE,FALSE,9.582733769055695
Algeria,DZA,2010,74.144,14201.3659906969,227.95396423,92.2959734615905,24.4,Middle East & North Africa,Upper middle income,FALSE,FALSE,FALSE,FALSE,FALSE,9.561093435490713
Algeria,DZA,2000,70.576,9186.81590342899,61.85785294,89.8488285798425,34.7,Middle East & North Africa,Upper middle income,FALSE,FALSE,FALSE,FALSE,FALSE,9.125524681258124
Algeria,DZA,2020,73.257,12676.5130564294,211.07276917,94.4373299704124,20.4,Middle East & North Africa,Upper middle income,FALSE,FALSE,FALSE,FALSE,FALSE,9.447506194623275
Andorra,AND,2010,84.197,43853.1712385354,3277.78515625,99.9999980744897,4.2,Europe & Central Asia,High income,FALSE,FALSE,TRUE,FALSE,FALSE,10.688602315334393
Andorra,AND,2020,79.418,52095.8414004627,3282.81738281,99.9999985271439,2.7,Europe & Central Asia,High income,FALSE,FALSE,TRUE,FALSE,FALSE,10.860840404986853
Andorra,AND,2000,81.863,33458.1181625074,1295.08508301,99.9999994632633,6.6,Europe & Central Asia,High income,FALSE,FALSE,FALSE,FALSE,FALSE,10.418049731551777
Angola,AGO,2000,46.501,3326.77991382792,13.15998554,41.1443097881583,115,Sub-Saharan Africa,Lower middle income,TRUE,FALSE,FALSE,TRUE,TRUE,8.109760122290819
Angola,AGO,2020,63.116,6450.74994625154,55.93916321,57.1677379228367,42.3,Sub-Saharan Africa,Lower middle income,FALSE,FALSE,FALSE,FALSE,FALSE,8.771951673767573
Angola,AGO,2010,57.242,6607.0221970301,96.95197296,50.3768404281237,68.9,Sub-Saharan Africa,Lower middle income,FALSE,FALSE,FALSE,FALSE,FALSE,8.795888331647385
Antigua and Barbuda,ATG,2020,77.161,22370.0918693813,883.50018311,98.3649937785451,7.8,Latin America & Caribbean,High income,FALSE,FALSE,FALSE,FALSE,FALSE,10.015480161287602
Antigua and Barbuda,ATG,2010,76.701,24071.0297956482,724.08880615,98.3661765475755,9.5,Latin America & Caribbean,High income,FALSE,FALSE,FALSE,FALSE,FALSE,10.088764313229122
Argentina,ARG,2010,75.68,17847.6110373178,975.65991211,98.4340478989156,12.4,Latin America & Caribbean,Upper middle income,FALSE,FALSE,FALSE,FALSE,FALSE,9.789624942806642
Argentina,ARG,2000,73.91,11499.9828002518,702.23309326,96.2840257442126,16.7,Latin America & Caribbean,Upper middle income,FALSE,FALSE,FALSE,FALSE,FALSE,9.350100818719945
Armenia,ARM,2010,73.1731707317073,7095.21267979009,291.77758789,98.138914628293,16.4,Europe & Central Asia,Upper middle income,FALSE,FALSE,FALSE,FALSE,FALSE,8.867175565154751
Armenia,ARM,2000,72.8804878048781,2530.74394657194,25.6606369,95.3321795073804,27.8,Europe & Central Asia,Upper middle income,FALSE,FALSE,FALSE,FALSE,FALSE,7.836268588525765
Armenia,ARM,2020,73.3756097560976,14706.3173043422,535.2723999,99.9415163996124,10.2,Europe & Central Asia,Upper middle income,FALSE,FALSE,FALSE,FALSE,FALSE,9.596032429046055
Australia,AUS,2020,83.2,53984.1246979075,5952.890625,99.9698176501115,3.2,East Asia & Pacific,High income,FALSE,FALSE,TRUE,FALSE,FALSE,10.896445295247952
Australia,AUS,2000,79.2341463414634,26541.6653208437,1626.73388672,99.7122951850974,5.1,East Asia & Pacific,High income,FALSE,FALSE,FALSE,FALSE,FALSE,10.186471053500307
Australia,AUS,2010,81.6951219512195,39372.8511038542,4947.96337891,99.8831444931569,4,East Asia & Pacific,High income,FALSE,FALSE,TRUE,FALSE,FALSE,10.580831799498446
Austria,AUT,2020,81.1926829268293,58523.0337816246,5531.0234375,100,2.9,Europe & Central Asia,High income,FALSE,FALSE,TRUE,FALSE,FALSE,10.977175695581582
Austria,AUT,2010,80.5804878048781,41740.1149241758,4800.79345703,100,3.6,Europe & Central Asia,High income,FALSE,FALSE,TRUE,FALSE,FALSE,10.639217933961753
Austria,AUT,2000,78.1268292682927,29214.7386484813,2269.12646484,99.9999997317949,4.5,Europe & Central Asia,High income,FALSE,FALSE,TRUE,FALSE,FALSE,10.282428609149493
Azerbaijan,AZE,2000,65.377,3439.14443222004,18.64016533,73.4165803447003,59.9,Europe & Central Asia,Upper middle income,FALSE,FALSE,FALSE,FALSE,FALSE,8.142978007869653
Azerbaijan,AZE,2010,70.309,14930.4100337944,153.0665741,86.0078827586649,29.5,Europe & Central Asia,Upper middle income,FALSE,FALSE,FALSE,FALSE,FALSE,9.611155353906577
Azerbaijan,AZE,2020,70.312,15163.5703327282,245.21949768,96.3620821780168,15.6,Europe & Central Asia,Upper middle income,FALSE,FALSE,FALSE,FALSE,FALSE,9.626651141542638
"Bahamas, The",BHS,2010,73.449,29624.9512261144,1444.0065918,98.6731388684989,13.4,Latin America & Caribbean,High income,FALSE,FALSE,FALSE,FALSE,FALSE,10.296372232060191
"Bahamas, The",BHS,2000,72.481,25421.6022088567,948.88244629,98.2454956108156,13.7,Latin America & Caribbean,High income,FALSE,FALSE,FALSE,FALSE,FALSE,10.143354572216523
Bahrain,BHR,2020,78.683,53436.0316999712,1101.79211426,99.9198990209829,6.6,Middle East & North Africa,High income,FALSE,FALSE,FALSE,FALSE,FALSE,10.886240548342014
Bahrain,BHR,2000,74.673,45687.5217405647,451.50253296,99.958665400505,10.5,Middle East & North Africa,High income,FALSE,FALSE,FALSE,FALSE,FALSE,10.729580492345695
Bahrain,BHR,2010,78.593,49254.5770084238,866.67224121,99.939282210744,7.1,Middle East & North Africa,High income,FALSE,FALSE,FALSE,FALSE,FALSE,10.804757576463315
Bangladesh,BGD,2010,68.009,2833.69544368864,20.62105751,96.5528253694261,36.9,South Asia,Lower middle income,FALSE,FALSE,FALSE,FALSE,FALSE,7.949336949298921
Bangladesh,BGD,2020,71.421,6640.58437331062,51.00624084,97.945676020447,24.9,South Asia,Lower middle income,FALSE,FALSE,FALSE,FALSE,FALSE,8.800955246626708
Bangladesh,BGD,2000,62.049,1511.90500588844,8.27585602,94.8189212128758,59.8,South Asia,Lower middle income,FALSE,FALSE,FALSE,FALSE,FALSE,7.321125727972433
Barbados,BRB,2000,74.58,15075.9510103336,622.47875977,98.3244234586283,13,Latin America & Caribbean,High income,FALSE,FALSE,FALSE,FALSE,FALSE,9.620856104868189
Barbados,BRB,2010,75.488,18977.5426798427,1114.3729248,98.4244376480974,12.7,Latin America & Caribbean,High income,FALSE,FALSE,FALSE,FALSE,FALSE,9.851011594859159
Barbados,BRB,2020,76.647,15824.49106614,1234.30041504,98.5144504186196,10.2,Latin America & Caribbean,High income,FALSE,FALSE,FALSE,FALSE,FALSE,9.669314086377694
Belarus,BLR,2020,72.1385609756098,24872.3066744528,420.43655396,98.6515731688089,2.2,Europe & Central Asia,Upper middle income,FALSE,FALSE,FALSE,FALSE,FALSE,10.12151028177084
Belarus,BLR,2000,68.9121951219512,5795.65223965525,57.02944183,98.3562356334077,9.9,Europe & Central Asia,Upper middle income,FALSE,FALSE,FALSE,FALSE,FALSE,8.664863301581017
Belarus,BLR,2010,70.4048780487805,15339.0999026403,341.13800049,98.2992552665083,4.2,Europe & Central Asia,Upper middle income,FALSE,FALSE,FALSE,FALSE,FALSE,9.638160396709512
Belgium,BEL,2010,80.1829268292683,39844.4054386496,4530.05810547,99.9999993558678,3.7,Europe & Central Asia,High income,FALSE,FALSE,TRUE,FALSE,FALSE,10.592737283864565
Belgium,BEL,2000,77.7219512195122,27788.0908832256,1849.91601563,99.9999969007735,4.8,Europe & Central Asia,High income,FALSE,FALSE,FALSE,FALSE,FALSE,10.232362822399967
Belgium,BEL,2020,80.6951219512195,56120.0958420466,5144.98144531,99.9999962634716,3.2,Europe & Central Asia,High income,FALSE,FALSE,TRUE,FALSE,FALSE,10.935249242020474
Belize,BLZ,2020,71.58,9618.01643529994,280.52630615,98.4019559329424,11.1,Latin America & Caribbean,Upper middle income,FALSE,FALSE,FALSE,FALSE,FALSE,9.171393330642546
Belize,BLZ,2010,70.875,9734.89239729241,244.02867126,93.9374803437478,15.5,Latin America & Caribbean,Upper middle income,FALSE,FALSE,FALSE,FALSE,FALSE,9.183471864565183
Belize,BLZ,2000,68.911,7555.13433418162,138.99145508,87.4314870895846,19.6,Latin America & Caribbean,Upper middle income,FALSE,FALSE,FALSE,FALSE,FALSE,8.929982655380215
Benin,BEN,2010,58.387,2220.32854611489,29.29358101,64.5198486890521,63.7,Sub-Saharan Africa,Lower middle income,FALSE,FALSE,FALSE,FALSE,FALSE,7.705410457661777
Benin,BEN,2000,56.594,1671.35725172854,14.42371464,61.7404116172502,79.7,Sub-Saharan Africa,Lower middle income,FALSE,FALSE,FALSE,FALSE,FALSE,7.421391300914146
Benin,BEN,2020,60.154,3244.58772756805,32.55360031,66.8873289474628,50.4,Sub-Saharan Africa,Lower middle income,FALSE,FALSE,FALSE,FALSE,FALSE,8.084743572551606
Bhutan,BTN,2000,61.842,3113.045439264,30.5911293,82.3616023376971,60.1,South Asia,Lower middle income,FALSE,FALSE,FALSE,FALSE,FALSE,8.043356766950563
Bhutan,BTN,2020,72.253,12475.048003428,134.13723755,98.9817176346163,20.3,South Asia,Lower middle income,FALSE,FALSE,FALSE,FALSE,FALSE,9.431485768582496
Bhutan,BTN,2010,68.765,7245.77263522404,72.38789368,92.9198297625289,31.4,South Asia,Lower middle income,FALSE,FALSE,FALSE,FALSE,FALSE,8.888173492991987
Bolivia,BOL,2020,62.906,8293.99121208365,248.69514465,93.0874216875902,22.2,Latin America & Caribbean,Lower middle income,FALSE,FALSE,FALSE,FALSE,FALSE,9.023286581254723
Bolivia,BOL,2010,66.003,5100.52757238083,100.39356232,87.4379445833791,34.9,Latin America & Caribbean,Lower middle income,FALSE,FALSE,FALSE,FALSE,FALSE,8.537099258927162
Bolivia,BOL,2000,62.057,3359.09510540566,42.89028168,80.7715746117768,59.6,Latin America & Caribbean,Lower middle income,FALSE,FALSE,FALSE,FALSE,FALSE,8.119426902818395
Bosnia and Herzegovina,BIH,2000,75.292,4147.03813509401,106.5786972,97.2697023620953,8.3,Europe & Central Asia,Upper middle income,FALSE,FALSE,FALSE,FALSE,FALSE,8.330149656030965
Bosnia and Herzegovina,BIH,2020,76.04,16369.9341410765,594.8225708,96.1138971196897,5.8,Europe & Central Asia,Upper middle income,FALSE,FALSE,FALSE,FALSE,FALSE,9.703201647209653
Bosnia and Herzegovina,BIH,2010,76.827,9086.74853515985,406.13046265,96.6694951663687,6,Europe & Central Asia,Upper middle income,FALSE,FALSE,FALSE,FALSE,FALSE,9.114572426280622
Botswana,BWA,2000,52.263,9187.36377613829,206.93144226,75.1696350758408,42.5,Sub-Saharan Africa,Upper middle income,FALSE,FALSE,FALSE,FALSE,FALSE,9.125584316324181
Botswana,BWA,2010,59.137,12490.8923158262,389.55178833,83.0797687746127,50.5,Sub-Saharan Africa,Upper middle income,FALSE,FALSE,FALSE,FALSE,FALSE,9.432755042987766
Botswana,BWA,2020,67.643,15292.2624704777,386.28860474,92.3385777393314,41.5,Sub-Saharan Africa,Upper middle income,FALSE,FALSE,FALSE,FALSE,FALSE,9.635102258576781
Brazil,BRA,2010,73.779,14451.7158389637,906.0098877,96.5187999853069,16,Latin America & Caribbean,Upper middle income,FALSE,FALSE,FALSE,FALSE,FALSE,9.578568429672044
Brazil,BRA,2020,74.506,16101.6183063466,680.76843262,99.3208587959277,12.8,Latin America & Caribbean,Upper middle income,FALSE,FALSE,FALSE,FALSE,FALSE,9.686675061843317
Brazil,BRA,2000,69.584,9091.76851374523,313.92590332,93.4715252595615,29.1,Latin America & Caribbean,Upper middle income,FALSE,FALSE,FALSE,FALSE,FALSE,9.115124724215539
Brunei Darussalam,BRN,2000,74.017,73086.931984444,519.05047607,99.9000162089371,8.3,East Asia & Pacific,High income,FALSE,TRUE,FALSE,FALSE,FALSE,11.199404860734129
Brunei Darussalam,BRN,2020,75.114,69787.9633393605,657.90374756,99.9000472814433,8.5,East Asia & Pacific,High income,FALSE,TRUE,FALSE,FALSE,FALSE,11.15321682888528
Brunei Darussalam,BRN,2010,74.82,79542.6778763874,795.97766113,99.9000278633906,8.1,East Asia & Pacific,High income,FALSE,TRUE,FALSE,FALSE,FALSE,11.284048985235284
Bulgaria,BGR,2000,71.6634146341463,6422.7893292648,94.51976013,99.8130157809927,14.3,Europe & Central Asia,High income,FALSE,FALSE,FALSE,FALSE,FALSE,8.767607777290454
Bulgaria,BGR,2020,73.3560975609756,27376.7783677501,856.70440674,99.1167359557668,5.4,Europe & Central Asia,High income,FALSE,FALSE,FALSE,FALSE,FALSE,10.217450428214267
Bulgaria,BGR,2010,73.5121951219512,14955.9157788275,484.75228882,99.4298308695305,9.1,Europe & Central Asia,High income,FALSE,FALSE,FALSE,FALSE,FALSE,9.612862204817944
Burkina Faso,BFA,2020,60.454,2380.72282781802,54.28778839,48.5409861511794,48.7,Sub-Saharan Africa,Low income,FALSE,FALSE,FALSE,TRUE,FALSE,7.775159429722462
Burkina Faso,BFA,2010,56.343,1449.42216382921,32.74515533,53.4217027865086,65.7,Sub-Saharan Africa,Low income,FALSE,FALSE,FALSE,FALSE,FALSE,7.27892024828533
Burkina Faso,BFA,2000,50.808,896.477481510815,7.34345675,57.5604209016516,92.4,Sub-Saharan Africa,Low income,FALSE,FALSE,FALSE,FALSE,TRUE,6.798473174504193
Burundi,BDI,2010,57.088,613.649848956193,24.45114708,56.5231180583941,55,Sub-Saharan Africa,Low income,FALSE,FALSE,FALSE,FALSE,FALSE,6.419424486903494
Burundi,BDI,2020,62.569,786.515830674648,26.21934319,62.2071212739845,34.5,Sub-Saharan Africa,Low income,FALSE,FALSE,FALSE,FALSE,FALSE,6.667612850299133
Burundi,BDI,2000,47.617,519.115060396355,5.67927122,50.6631178584695,88.6,Sub-Saharan Africa,Low income,FALSE,FALSE,FALSE,FALSE,FALSE,6.2521255549269785
Cabo Verde,CPV,2010,72.507,6038.58525655665,146.0806427,83.0628768653601,23.8,Sub-Saharan Africa,Lower middle income,FALSE,FALSE,FALSE,FALSE,FALSE,8.705925034446041
Cabo Verde,CPV,2020,73.818,6852.57669930355,235.4349823,89.1775739362889,12.5,Sub-Saharan Africa,Lower middle income,FALSE,FALSE,FALSE,FALSE,FALSE,8.832380021007923
Cabo Verde,CPV,2000,68.117,3124.49488355024,59.54011154,79.129833821059,29.4,Sub-Saharan Africa,Lower middle income,FALSE,FALSE,FALSE,FALSE,FALSE,8.047027911841868
Cambodia,KHM,2000,59.491,1255.64037842372,19.28210449,51.899880591249,86.7,East Asia & Pacific,Lower middle income,FALSE,FALSE,FALSE,FALSE,FALSE,7.1354009831188625
Cambodia,KHM,2020,70.059,5942.45380373929,110.01118469,76.2531074222297,22.6,East Asia & Pacific,Lower middle income,FALSE,FALSE,FALSE,FALSE,FALSE,8.689877425327698
Cambodia,KHM,2010,67.311,2988.50401439457,53.58575439,65.8701567479709,37.7,East Asia & Pacific,Lower middle income,FALSE,FALSE,FALSE,FALSE,FALSE,8.002528211544172
Cameroon,CMR,2020,61.674,4365.44704128392,66.17185211,68.4506973221862,45.3,Sub-Saharan Africa,Lower middle income,FALSE,FALSE,FALSE,FALSE,FALSE,8.381475877985874
Cameroon,CMR,2010,56.965,2913.94292755606,50.03335571,63.1600528512177,63.9,Sub-Saharan Africa,Lower middle income,FALSE,FALSE,FALSE,FALSE,FALSE,7.977262400961449
Cameroon,CMR,2000,53.338,2108.49454959751,30.438097,56.3102137004233,82.8,Sub-Saharan Africa,Lower middle income,FALSE,FALSE,FALSE,FALSE,FALSE,7.653729488216477
Canada,CAN,2000,79.1668292682927,29362.0841609786,1988.15942383,99.2269903286955,5.3,North America,High income,FALSE,FALSE,TRUE,FALSE,FALSE,10.287459466618389
Canada,CAN,2010,81.3221951219512,40098.2537191139,5062.48291016,99.2363491901291,5,North America,High income,FALSE,FALSE,TRUE,FALSE,FALSE,10.599088064194639
Canada,CAN,2020,81.5351219512195,48590.6832121939,5649.16943359,99.221809586814,4.5,North America,High income,FALSE,FALSE,TRUE,FALSE,FALSE,10.79118708805833
Central African Republic,CAF,2000,46.609,639.836997022267,9.9123354,59.0104896097958,99.8,Sub-Saharan Africa,Low income,TRUE,FALSE,FALSE,FALSE,TRUE,6.461213451761456
Central African Republic,CAF,2010,46.871,936.485497371468,17.01008034,47.6121816825573,88.1,Sub-Saharan Africa,Low income,TRUE,FALSE,FALSE,TRUE,FALSE,6.842134035775412
Central African Republic,CAF,2020,50.596,1066.29005423151,42.634758,37.2024025511537,74.5,Sub-Saharan Africa,Low income,FALSE,FALSE,FALSE,TRUE,FALSE,6.971940663616393
Chad,TCD,2010,50.107,2318.39844293894,35.26005936,44.5760294474077,82.8,Sub-Saharan Africa,Low income,FALSE,FALSE,FALSE,TRUE,FALSE,7.748631899956004
Chad,TCD,2020,53.082,2185.99034173537,37.73088074,51.1953778058648,63.6,Sub-Saharan Africa,Low income,FALSE,FALSE,FALSE,FALSE,FALSE,7.689824250490387
Chad,TCD,2000,47.937,1039.06955283557,10.07452297,38.6325922411663,102,Sub-Saharan Africa,Low income,FALSE,FALSE,FALSE,TRUE,TRUE,6.946080930952613
Chile,CHL,2020,79.349,25350.8635082972,1270.97814941,100,5.9,Latin America & Caribbean,High income,FALSE,FALSE,FALSE,FALSE,FALSE,10.14056807188286
Chile,CHL,2000,77.128,9375.59008388337,353.25033569,95.7491208421222,9.2,Latin America & Caribbean,High income,FALSE,FALSE,FALSE,FALSE,FALSE,9.145864791138722
Chile,CHL,2010,79.095,17917.8951217097,861.72436523,98.3290115514448,7.5,Latin America & Caribbean,High income,FALSE,FALSE,FALSE,FALSE,FALSE,9.793555219903967
China,CHN,2020,78.019,18267.4783455827,582.95092773,95.8903136606767,5.5,East Asia & Pacific,Upper middle income,FALSE,FALSE,FALSE,FALSE,FALSE,9.812877618257948
China,CHN,2000,72.288,2963.53238602023,42.80797577,78.8969610642735,30,East Asia & Pacific,Upper middle income,FALSE,FALSE,FALSE,FALSE,FALSE,7.994137209469253
China,CHN,2010,75.668,9411.13821903204,188.87156677,88.7139650125555,12.5,East Asia & Pacific,Upper middle income,FALSE,FALSE,FALSE,FALSE,FALSE,9.149649183716406
Colombia,COL,2020,74.757,15519.2101694656,464.9777832,97.0410236613368,12,Latin America & Caribbean,Upper middle income,FALSE,FALSE,FALSE,FALSE,FALSE,9.649833901299532
Colombia,COL,2000,70.905,6775.93064418811,134.71453857,91.9600501288055,21.6,Latin America & Caribbean,Upper middle income,FALSE,FALSE,FALSE,FALSE,FALSE,8.821132000770078
Colombia,COL,2010,74.876,10841.1279801312,452.44281006,94.8180493749797,16.3,Latin America & Caribbean,Upper middle income,FALSE,FALSE,FALSE,FALSE,FALSE,9.291102326787737
Comoros,COM,2000,58.941,1719.0179082758,47.59433365,90.9479272603879,64.8,Sub-Saharan Africa,Lower middle income,FALSE,FALSE,FALSE,FALSE,FALSE,7.449508423173726
Comoros,COM,2010,62.747,2333.32778329942,69.21523285,83.405978062016,47,Sub-Saharan Africa,Lower middle income,FALSE,FALSE,FALSE,FALSE,FALSE,7.755050760780549
"Congo, Dem. Rep.",COD,2010,56.411,597.088740789196,12.1423111,36.9035407166746,65.9,Sub-Saharan Africa,Low income,FALSE,FALSE,FALSE,TRUE,FALSE,6.392065746884114
"Congo, Dem. Rep.",COD,2020,60.428,1136.00839556367,20.5593071,35.5002372686537,48.4,Sub-Saharan Africa,Low income,FALSE,FALSE,FALSE,TRUE,FALSE,7.035275989714765
"Congo, Dem. Rep.",COD,2000,51.887,416.549337550587,17.52071953,37.5599290974999,91.2,Sub-Saharan Africa,Low income,FALSE,FALSE,FALSE,TRUE,FALSE,6.032004912095772
"Congo, Rep.",COG,2010,61.731,5125.06991343643,54.56225586,65.8939089725679,41,Sub-Saharan Africa,Lower middle income,FALSE,FALSE,FALSE,FALSE,FALSE,8.541899445559695
"Congo, Rep.",COG,2000,55.371,3667.42487266336,17.35089302,57.1558732950325,73.3,Sub-Saharan Africa,Lower middle income,FALSE,FALSE,FALSE,FALSE,FALSE,8.20724502518929
"Congo, Rep.",COG,2020,64.391,4770.96449758365,80.09735107,73.7845109785203,30.2,Sub-Saharan Africa,Lower middle income,FALSE,FALSE,FALSE,FALSE,FALSE,8.47030376419386
Costa Rica,CRI,2010,79.354,12927.5645930035,663.69165039,98.0541345560176,9,Latin America & Caribbean,Upper middle income,FALSE,FALSE,FALSE,FALSE,FALSE,9.46711710081589
Costa Rica,CRI,2000,77.317,7879.47794965988,250.30950928,94.4644859668649,11.2,Latin America & Caribbean,Upper middle income,FALSE,FALSE,FALSE,FALSE,FALSE,8.972016930614132
Costa Rica,CRI,2020,79.725,22099.867812715,969.89099121,99.8105365712776,8.2,Latin America & Caribbean,Upper middle income,FALSE,FALSE,FALSE,FALSE,FALSE,10.003326906162844
Cote d'Ivoire,CIV,2000,51.393,3040.57593185363,33.58165741,70.6328654119712,91.4,Sub-Saharan Africa,Lower middle income,FALSE,FALSE,FALSE,FALSE,FALSE,8.019802227724284
Cote d'Ivoire,CIV,2010,55.282,3360.54408826055,70.04605103,71.7379636235924,68.8,Sub-Saharan Africa,Lower middle income,FALSE,FALSE,FALSE,FALSE,FALSE,8.11985817087776
Cote d'Ivoire,CIV,2020,60.14,5543.85096318939,78.97766876,72.6253447367345,50.9,Sub-Saharan Africa,Lower middle income,FALSE,FALSE,FALSE,FALSE,FALSE,8.6204446579668
Croatia,HRV,2000,72.8078048780488,10672.2559989535,371.06213379,98.6494084688423,7.2,Europe & Central Asia,High income,FALSE,FALSE,FALSE,FALSE,FALSE,9.275402755775636
Cyprus,CYP,2010,80.632,33505.8828125,2045.2923584,99.8271484477565,2.8,Europe & Central Asia,High income,FALSE,FALSE,TRUE,FALSE,FALSE,10.419476308739453
Cyprus,CYP,2000,77.9,21291.2578125,750.51672363,99.8893890513179,5.8,Europe & Central Asia,High income,FALSE,FALSE,FALSE,FALSE,FALSE,9.966051836109493
Cyprus,CYP,2020,81.23,43354,2483.06005859,99.7651721581168,2.6,Europe & Central Asia,High income,FALSE,FALSE,TRUE,FALSE,FALSE,10.677154250154869
Czechia,CZE,2020,78.2268292682927,44839.4822099455,2106.28027344,99.8805882608907,2.4,Europe & Central Asia,High income,FALSE,FALSE,TRUE,FALSE,FALSE,10.710844329615977
Czechia,CZE,2010,77.4243902439025,28156.9854724601,1509.44726563,99.8565979650639,2.7,Europe & Central Asia,High income,FALSE,FALSE,FALSE,FALSE,FALSE,10.245550754558058
Czechia,CZE,2000,74.9682926829268,16328.7979234395,342.92108154,99.8061242632048,4.5,Europe & Central Asia,High income,FALSE,FALSE,FALSE,FALSE,FALSE,9.70068557170817
Denmark,DNK,2020,81.6024390243903,62682.2899474389,6530.47509766,99.9999967060358,3.2,Europe & Central Asia,High income,FALSE,TRUE,TRUE,FALSE,FALSE,11.04583422974388
Denmark,DNK,2000,76.5926829268293,28641.6990434156,2496.04711914,99.9999994057231,4.7,Europe & Central Asia,High income,FALSE,FALSE,TRUE,FALSE,FALSE,10.26261894345658
Denmark,DNK,2010,79.1,43042.394637021,6171.28515625,99.9999977832783,3.5,Europe & Central Asia,High income,FALSE,FALSE,TRUE,FALSE,FALSE,10.669940830765213
